product,current_sale_price,standard_price,discount,product_url
Cotton Linen Overshirt,39.90 €,59.90 €,-20.0,https://www.uniqlo.com/eu/en/product/cotton-linen-overshirt-457148.html
Attack On Titan UT Graphic T-Shirt,5.90 €,19.90 €,-13.999999999999998,https://www.uniqlo.com/eu/en/product/attack-on-titan-ut-graphic-t-shirt-459526.html
Slim Fit Chinos,39.90 €,39.90 €,0.0,https://www.uniqlo.com/eu/en/product/slim-fit-chinos-455482.html
DRY Piqué Polo Shirt,9.90 €,24.90 €,-14.999999999999998,https://www.uniqlo.com/eu/en/product/dry-piqu%C3%A9-polo-shirt-448874.html
Attack On Titan UT Graphic T-Shirt,5.90 €,19.90 €,-13.999999999999998,https://www.uniqlo.com/eu/en/product/attack-on-titan-ut-graphic-t-shirt-462441.html
Keith Haring UT Round Mini Shoulder Bag,9.90 €,14.90 €,-5.0,https://www.uniqlo.com/eu/en/product/keith-haring-ut-round-mini-shoulder-bag-460628.html
Uniqlo U AIRism Cotton Striped Oversized Crew Neck Half Sleeve T-Shirt,12.90 €,19.90 €,-6.999999999999998,https://www.uniqlo.com/eu/en/product/uniqlo-u-airism-cotton-striped-oversized-crew-neck-half-sleeve-t-shirt-461914.html
Sweat Pullover Hoodie,49.90 €,49.90 €,0.0,https://www.uniqlo.com/eu/en/product/sweat-pullover-hoodie-455395.html
Attack On Titan UT Graphic T-Shirt,5.90 €,19.90 €,-13.999999999999998,https://www.uniqlo.com/eu/en/product/attack-on-titan-ut-graphic-t-shirt-462442.html
AirSense Ultra Light Pleated Trousers (Adam Scott),29.90 €,49.90 €,-20.0,https://www.uniqlo.com/eu/en/product/airsense-ultra-light-pleated-trousers-adam-scott-464881.html
Cotton Linen Blend Utility Jacket,24.90 €,59.90 €,-35.0,https://www.uniqlo.com/eu/en/product/cotton-linen-blend-utility-jacket-457212.html
AirSense Ultra Light Shirt Jacket,39.90 €,69.90 €,-30.000000000000007,https://www.uniqlo.com/eu/en/product/airsense-ultra-light-shirt-jacket-455700.html
